Sl.No,Fiber Volume Fraction,Fiber_Thickness,ModelingPly.1.ply_angle, ModelingPly.2.ply_angle, ModelingPly.3.ply_angle,ModelingPly.4.ply_angle,ModelingPly.5.ply_angle, ModelingPly.6.ply_angle, E1, E2, E3, G12, G23, G31, nu12, nu13,nu23,Inverse Reserve Factor Maximum,Total Deformation Maximum [mm],Equivalent Stress Maximum [MPa],Shear Stress Maximum-XY [MPa],Normal Stress Maximum-X [MPa], Normal Stress  Maximum-Y[MPa],Equivalent Elastic Strain Maximum [mm mm^-1],Shear Elastic Strain Maximum-XY [mm mm^-1],Normal Elastic Strain Maximum-X [mm mm^-1],Normal Elastic Strain Maximum-Y[mm mm^-1]
112,0.6208,0.2187,0,0,90,90,0,0,84645.86,5602.46,5322.34,3058.24,2129.83,2129.83,0.313,0.303,0.3739,3.0,0.260509,40.495,6.074,28.346,12.148,0.00260509,0.00198616,0.00033488,0.0021684
113,0.6187,0.2974,45,45,-45,-45,45,45,83651.3,5934.75,5638.01,3010.68,2238.93,2238.93,0.2916,0.2816,0.3231,3.0,0.328469,52.825,7.924,36.977,15.847,0.00328469,0.00263187,0.00044204,0.00267028
114,0.5016,0.2503,90,45,0,0,45,90,69455.69,4445.58,4223.31,2575.74,1723.25,1723.25,0.2406,0.2306,0.3269,3.0,0.243115,30.506,4.576,21.354,9.152,0.00243115,0.00177653,0.00030745,0.00205862
115,0.6095,0.2807,0,0,90,90,0,0,80945.25,5451.13,5178.57,2951.94,2087.61,2087.61,0.2523,0.2423,0.3338,3.0,0.101624,15.33,2.299,10.731,4.599,0.00101624,0.00077896,0.00013257,0.00084366
116,0.5739,0.2919,90,45,0,0,45,90,77773.55,5142.72,4885.58,2895.62,2011.86,2011.86,0.3108,0.3008,0.3531,3.0,0.458886,66.058,9.909,46.24,19.817,0.00458886,0.00342194,0.00059455,0.00385348
117,0.4724,0.2799,0,45,-45,-45,45,0,63054.5,4252.6,4039.97,2409.54,1662.31,1662.31,0.3194,0.3094,0.38,3.0,0.139278,16.602,2.49,11.622,4.981,0.00139278,0.00103354,0.00018431,0.00117122
118,0.5533,0.1914,0,30,-30,-30,30,0,75862.8,5165.92,4907.62,2834.27,1967.23,1967.23,0.2441,0.2341,0.3538,3.0,0.350492,50.286,7.543,35.2,15.086,0.00350492,0.00266132,0.000464,0.00292025
119,0.5207,0.2745,45,45,-45,-45,45,45,71854.4,4812.04,4571.44,2692.58,1808.75,1808.75,0.2793,0.2693,0.3714,3.0,0.414373,55.705,8.356,38.994,16.712,0.00414373,0.00310327,0.00054268,0.00347287
120,0.4788,0.2855,90,45,0,0,45,90,64202.01,4361.84,4143.75,2334.59,1698.25,1698.25,0.24,0.23,0.3349,3.0,0.0998,12.003,1.8,8.402,3.601,0.000998,0.0007712,0.00013087,0.00082554
121,0.6049,0.1842,0,0,90,90,0,0,81546.71,5407.74,5137.35,2898.78,2072.53,2072.53,0.2831,0.2731,0.3655,3.0,0.31373,46.82,7.023,32.774,14.046,0.0031373,0.00242273,0.0004019,0.00259737
122,0.4686,0.2273,90,45,0,0,45,90,63328.46,4222.55,4011.42,2337.43,1640.12,1640.12,0.2772,0.2672,0.3294,3.0,0.416107,48.94,7.341,34.258,14.682,0.00416107,0.00314065,0.00054096,0.00347707
123,0.4938,0.205,45,45,-45,-45,45,45,67235.81,4386.9,4167.56,2530.33,1779.94,1779.94,0.2719,0.2619,0.3792,3.0,0.406993,50.319,7.548,35.223,15.096,0.00406993,0.00298293,0.00052387,0.00344106
124,0.4774,0.2584,0,90,90,90,90,0,64587.44,4297.18,4082.32,2475.59,1548.5,1548.5,0.2554,0.2454,0.3177,3.0,0.267788,32.41,4.861,22.687,9.723,0.00267788,0.00196376,0.00035126,0.00226263
125,0.5812,0.2147,0,90,90,90,90,0,77430.98,5599.55,5319.57,3014.18,2013.66,2013.66,0.244,0.234,0.3481,3.0,0.332314,51.336,7.7,35.935,15.401,0.00332314,0.00255473,0.00046409,0.00275037
126,0.5472,0.2112,0,60,-60,-60,60,0,73775.37,4685.11,4450.86,2690.47,1922.77,1922.77,0.2617,0.2517,0.3418,3.0,0.24001,31.667,4.75,22.167,9.5,0.0024001,0.00176551,0.00030047,0.00202772
127,0.5129,0.2477,90,45,0,0,45,90,69235.47,4410.09,4189.59,2545.78,1813.59,1813.59,0.2538,0.2438,0.3712,3.0,0.372772,46.36,6.954,32.452,13.908,0.00372772,0.00273156,0.00046872,0.00315365
128,0.544,0.2371,0,90,90,90,90,0,74338.96,5185.99,4926.69,2837.59,1842.57,1842.57,0.2944,0.2844,0.3171,3.0,0.434274,62.472,9.371,43.731,18.742,0.00434274,0.00330241,0.00058826,0.00361391
129,0.4698,0.2048,0,60,-60,-60,60,0,63304.36,4130.9,3924.35,2308.7,1608.79,1608.79,0.2444,0.2344,0.3286,3.0,0.266819,30.795,4.619,21.557,9.239,0.00266819,0.0020008,0.00034052,0.00223645
130,0.503,0.2533,0,45,-45,-45,45,0,67676.65,4419.62,4198.64,2355.7,1691.46,1691.46,0.2492,0.2392,0.3496,3.0,0.152235,18.541,2.781,12.978,5.562,0.00152235,0.00118058,0.00019177,0.00125852
131,0.4744,0.2823,0,90,90,90,90,0,64536.34,4386.93,4167.58,2317.92,1686.58,1686.58,0.2659,0.2559,0.3759,3.0,0.415192,50.027,7.504,35.019,15.008,0.00415192,0.00323739,0.00054262,0.00342107
132,0.5654,0.2767,90,45,0,0,45,90,74977.92,4910.73,4665.19,2832.05,1995.15,1995.15,0.2868,0.2768,0.3102,3.0,0.12257,16.962,2.544,11.873,5.089,0.0012257,0.00089838,0.00015836,0.0010362
133,0.5142,0.2032,90,45,0,0,45,90,68217.76,4880.49,4636.47,2539.23,1852.0,1852.0,0.2907,0.2807,0.3741,3.0,0.094713,12.624,1.894,8.837,3.787,0.00094713,0.00074576,0.00012954,0.00077601
134,0.6366,0.227,90,45,0,0,45,90,87095.81,5956.52,5658.7,3134.96,2243.04,2243.04,0.2844,0.2744,0.3257,3.0,0.16761,27.386,4.108,19.17,8.216,0.0016761,0.00131033,0.0002201,0.00137927
135,0.5191,0.2254,45,-45,45,-45,45,-45,71283.94,4686.93,4452.58,2643.48,1794.65,1794.65,0.3004,0.2904,0.3206,3.0,0.092503,12.143,1.821,8.5,3.643,0.00092503,0.00068902,0.00011924,0.00077723
136,0.6154,0.2913,0,45,-45,-45,45,0,83785.59,5768.77,5480.33,3163.75,2135.01,2135.01,0.3139,0.3039,0.3463,3.0,0.272558,43.654,6.548,30.558,13.096,0.00272558,0.00206974,0.00036472,0.00227021
137,0.4509,0.1846,45,45,-45,-45,45,45,60613.07,4237.36,4025.49,2124.38,1477.53,1477.53,0.2773,0.2673,0.3004,3.0,0.395532,45.256,6.788,31.679,13.577,0.00395532,0.00319545,0.00052264,0.00320405
138,0.6073,0.2197,0,60,-60,-60,60,0,84393.75,5589.6,5310.12,3046.83,2103.7,2103.7,0.302,0.292,0.3397,3.0,0.392054,60.776,9.116,42.543,18.233,0.00392054,0.0029921,0.00050411,0.00326193
139,0.5573,0.2958,90,45,0,0,45,90,73846.22,4870.88,4627.33,2789.7,1846.32,1846.32,0.3049,0.2949,0.3385,3.0,0.471076,64.532,9.68,45.172,19.36,0.00471076,0.00346984,0.00061171,0.00397456
140,0.5629,0.2979,90,45,0,0,45,90,77468.08,4649.21,4416.75,2793.54,1911.07,1911.07,0.3036,0.2936,0.367,3.0,0.326092,43.241,6.486,30.269,12.972,0.00326092,0.00232186,0.00039073,0.00279024
141,0.5069,0.2165,0,90,90,90,90,0,68879.98,4339.16,4122.2,2605.82,1736.05,1736.05,0.2935,0.2835,0.3301,3.0,0.467689,57.832,8.675,40.482,17.349,0.00467689,0.00332898,0.00058772,0.00399835
142,0.5737,0.1848,0,90,90,90,90,0,77806.82,4925.35,4679.08,2861.29,2045.2,2045.2,0.2675,0.2575,0.3077,3.0,0.249034,34.652,5.198,24.256,10.395,0.00249034,0.00181657,0.00031175,0.00211061
143,0.6395,0.2286,0,30,-30,-30,30,0,86889.9,5853.86,5561.17,3359.96,2227.43,2227.43,0.2743,0.2643,0.3345,3.0,0.347902,57.289,8.593,40.103,17.187,0.00347902,0.00255759,0.00046153,0.00293598
144,0.4572,0.2442,45,45,-45,-45,45,45,64491.08,4163.64,3955.46,2241.96,1645.93,1645.93,0.3122,0.3022,0.3036,3.0,0.55032,63.345,9.502,44.342,19.004,0.0055032,0.00423815,0.00068756,0.00456416
145,0.6372,0.2805,45,-45,45,-45,45,-45,88314.15,5804.5,5514.28,3163.3,2204.76,2204.76,0.2854,0.2754,0.3318,3.0,0.088333,14.221,2.133,9.955,4.266,0.00088333,0.00067433,0.00011272,0.00073498
146,0.539,0.1876,0,90,90,90,90,0,73799.83,4794.08,4554.37,2717.63,1830.16,1830.16,0.2475,0.2375,0.3694,3.0,0.478191,64.309,9.646,45.016,19.293,0.00478191,0.00354955,0.00060998,0.00402429
147,0.5916,0.2796,0,60,-60,-60,60,0,77935.46,5320.47,5054.45,2979.72,2098.29,2098.29,0.2835,0.2735,0.3719,3.0,0.445941,66.277,9.942,46.394,19.883,0.00445941,0.00333643,0.00059529,0.00373712
148,0.6444,0.2646,90,45,0,0,45,90,86607.78,5774.55,5485.82,3116.68,2259.97,2259.97,0.2472,0.2372,0.3062,3.0,0.232153,37.067,5.56,25.947,11.12,0.00232153,0.00178398,0.00029959,0.00192573
149,0.606,0.2335,90,45,0,0,45,90,81155.42,5523.1,5246.94,2917.6,2214.02,2214.02,0.2575,0.2475,0.3413,3.0,0.421445,63.926,9.589,44.748,19.178,0.00421445,0.00328657,0.00055139,0.00347229
150,0.6372,0.2973,0,60,-60,-60,60,0,85638.0,5704.51,5419.28,3156.68,2201.29,2201.29,0.2855,0.2755,0.373,3.0,0.136043,21.615,3.242,15.13,6.484,0.00136043,0.00102709,0.00017668,0.00113671
151,0.5574,0.2551,0,60,-60,-60,60,0,77930.59,4781.8,4542.71,2862.88,2019.45,2019.45,0.2472,0.2372,0.3181,3.0,0.137975,18.795,2.819,13.156,5.638,0.00137975,0.00098474,0.00016882,0.00117914
152,0.5376,0.2935,90,45,0,0,45,90,72311.05,4806.7,4566.37,2711.27,1951.55,1951.55,0.2923,0.2823,0.3538,3.0,0.216398,29.128,4.369,20.389,8.738,0.00216398,0.00161147,0.00028197,0.00181793
153,0.537,0.2074,45,45,-45,-45,45,45,72163.4,4693.22,4458.56,2632.67,1797.56,1797.56,0.2816,0.2716,0.3407,3.0,0.377564,49.563,7.434,34.694,14.869,0.00377564,0.0028239,0.00048077,0.00316814
154,0.5373,0.2994,0,45,-45,-45,45,0,73885.03,4736.31,4499.49,2708.3,1811.13,1811.13,0.2582,0.2482,0.351,3.0,0.266872,35.55,5.332,24.885,10.665,0.00266872,0.00196892,0.0003368,0.00225173
155,0.4602,0.2978,0,30,-30,-30,30,0,61410.64,4092.67,3888.04,2331.43,1605.32,1605.32,0.3025,0.2925,0.3343,3.0,0.289895,33.313,4.997,23.319,9.994,0.00289895,0.00214329,0.00037972,0.00244189
156,0.5776,0.2827,45,45,-45,-45,45,45,80116.67,5251.88,4989.29,2945.71,1985.33,1985.33,0.2697,0.2597,0.334,3.0,0.3062,44.972,6.746,31.48,13.492,0.003062,0.00229004,0.00039293,0.00256891
157,0.6124,0.2407,0,30,-30,-30,30,0,80964.76,5246.68,4984.34,3068.69,2199.74,2199.74,0.2901,0.2801,0.3598,3.0,0.351425,52.163,7.824,36.514,15.649,0.00351425,0.00254975,0.00045098,0.00298261
158,0.6289,0.2127,0,30,-30,-30,30,0,83158.01,5601.84,5321.74,3247.04,2223.78,2223.78,0.2824,0.2724,0.3706,3.0,0.087025,13.75,2.062,9.625,4.125,0.00087025,0.00063518,0.00011574,0.00073635
159,0.6021,0.265,90,45,0,0,45,90,79637.14,5468.24,5194.83,3021.27,2076.57,2076.57,0.2502,0.2402,0.344,3.0,0.115262,17.537,2.631,12.276,5.261,0.00115262,0.00087069,0.00015415,0.00096214
160,0.591,0.1884,45,-45,45,-45,45,-45,80173.12,5146.54,4889.21,2997.75,2009.45,2009.45,0.3056,0.2956,0.3193,3.0,0.24818,36.101,5.415,25.271,10.83,0.0024818,0.0018064,0.0003152,0.00210438
161,0.5222,0.2012,45,-45,45,-45,45,-45,67963.25,4692.99,4458.34,2730.66,1834.18,1834.18,0.2505,0.2405,0.3351,3.0,0.258188,34.194,5.129,23.936,10.258,0.00258188,0.00187834,0.00035219,0.00218586
162,0.5106,0.2243,0,30,-30,-30,30,0,69182.39,4488.1,4263.7,2631.69,1771.32,1771.32,0.3094,0.2994,0.3799,3.0,0.160602,20.405,3.061,14.284,6.122,0.00160602,0.00116304,0.00020646,0.00136395
163,0.5727,0.2868,0,60,-60,-60,60,0,78609.6,5334.11,5067.4,2853.29,1897.73,1897.73,0.2795,0.2695,0.3326,3.0,0.419269,61.655,9.248,43.159,18.497,0.00419269,0.00324127,0.00054903,0.00346761
164,0.5636,0.2463,90,45,0,0,45,90,78501.02,4928.79,4682.35,2863.12,1888.35,1888.35,0.3196,0.3096,0.3698,3.0,0.409821,57.07,8.561,39.949,17.121,0.00409821,0.00298993,0.0005089,0.00347368
165,0.628,0.2177,0,0,90,90,0,0,86413.89,5616.32,5335.5,3033.05,2157.77,2157.77,0.2637,0.2537,0.3136,3.0,0.204455,31.769,4.765,22.238,9.531,0.00204455,0.00157114,0.00025735,0.00169697
166,0.489,0.187,45,-45,45,-45,45,-45,65581.45,4194.95,3985.2,2407.48,1675.2,1675.2,0.254,0.244,0.365,3.0,0.522591,61.72,9.258,43.204,18.516,0.00522591,0.0038455,0.00065878,0.00441387
167,0.5029,0.2896,45,-45,45,-45,45,-45,66521.02,4385.45,4166.18,2476.62,1702.12,1702.12,0.2612,0.2512,0.3344,3.0,0.119753,14.713,2.207,10.299,4.414,0.00119753,0.00089112,0.00015483,0.0010065
168,0.5365,0.2104,0,0,90,90,0,0,72837.73,4826.59,4585.26,2595.3,1814.64,1814.64,0.2403,0.2303,0.3457,3.0,0.395717,52.758,7.914,36.931,15.827,0.00395717,0.00304924,0.00050702,0.0032792
169,0.6488,0.1846,45,45,-45,-45,45,45,88250.34,5733.88,5447.19,3236.92,2189.81,2189.81,0.2697,0.2597,0.3151,3.0,0.124173,19.95,2.993,13.965,5.985,0.00124173,0.00092449,0.00015824,0.0010438
170,0.4891,0.2292,0,60,-60,-60,60,0,64336.42,4375.82,4157.03,2401.72,1730.75,1730.75,0.2729,0.2629,0.3323,3.0,0.282793,34.372,5.156,24.06,10.312,0.00282793,0.00214672,0.00037398,0.0023565
171,0.6347,0.2095,0,90,90,90,90,0,87039.6,5901.71,5606.62,3088.04,2205.73,2205.73,0.2771,0.2671,0.3232,3.0,0.323303,52.252,7.838,36.576,15.676,0.00323303,0.00253811,0.00042023,0.00265611
172,0.6092,0.2889,90,45,0,0,45,90,82589.49,5445.05,5172.8,3043.51,2136.17,2136.17,0.3155,0.3055,0.3322,3.0,0.369162,56.154,8.423,39.308,16.846,0.00369162,0.00276755,0.00047594,0.00309384
173,0.4949,0.2816,45,-45,45,-45,45,-45,67509.5,4461.42,4238.35,2520.4,1791.06,1791.06,0.3134,0.3034,0.3681,3.0,0.238268,29.783,4.467,20.848,8.935,0.00238268,0.00177253,0.00030882,0.00200271
174,0.6197,0.2073,0,90,90,90,90,0,84949.69,5394.1,5124.4,3048.53,2176.16,2176.16,0.2503,0.2403,0.3625,3.0,0.065977,9.979,1.497,6.985,2.994,0.00065977,0.00049099,8.223e-05,0.00055498
175,0.6377,0.2674,0,90,90,90,90,0,85845.27,5518.65,5242.72,3218.69,2111.25,2111.25,0.2494,0.2394,0.3191,3.0,0.220246,34.365,5.155,24.056,10.31,0.00220246,0.00160151,0.00028022,0.00186812
176,0.5506,0.2406,45,45,-45,-45,45,45,74113.24,4851.05,4608.5,2722.48,1990.66,1990.66,0.2989,0.2889,0.3542,3.0,0.306086,41.532,6.23,29.072,12.46,0.00306086,0.00228828,0.00039227,0.00256843
177,0.5546,0.2026,0,30,-30,-30,30,0,75775.6,5010.86,4760.31,2916.31,1886.16,1886.16,0.2911,0.2811,0.3379,3.0,0.384079,54.358,8.154,38.05,16.307,0.00384079,0.00279588,0.00050215,0.00325439
178,0.6473,0.1913,45,45,-45,-45,45,45,87391.38,5868.23,5574.81,3194.71,2261.17,2261.17,0.3184,0.3084,0.3707,3.0,0.201083,32.706,4.906,22.894,9.812,0.00201083,0.00153565,0.00026198,0.00167203
179,0.5103,0.2724,0,45,-45,-45,45,0,69323.08,4483.47,4259.3,2534.48,1710.89,1710.89,0.297,0.287,0.3451,3.0,0.209497,26.33,3.95,18.431,7.899,0.00209497,0.00155832,0.00026587,0.00176182
180,0.5491,0.1866,0,60,-60,-60,60,0,73485.36,4979.28,4730.32,2737.12,1965.58,1965.58,0.2441,0.2341,0.36,3.0,0.198612,27.483,4.123,19.238,8.245,0.00198612,0.00150615,0.0002618,0.00165587
181,0.5015,0.284,0,0,90,90,0,0,66206.67,4575.23,4346.47,2479.67,1874.06,1874.06,0.2585,0.2485,0.3022,3.0,0.396421,50.18,7.527,35.126,15.054,0.00396421,0.0030355,0.00053055,0.00329034
182,0.6417,0.2652,45,45,-45,-45,45,45,83839.47,5810.85,5520.31,3322.69,2223.29,2223.29,0.2912,0.2812,0.3161,3.0,0.285136,46.537,6.981,32.576,13.961,0.00285136,0.00210087,0.00038855,0.00240259
183,0.6276,0.2774,45,45,-45,-45,45,45,84591.78,5496.6,5221.77,3145.65,2167.46,2167.46,0.2666,0.2566,0.3135,3.0,0.184593,28.537,4.281,19.976,8.561,0.00184593,0.00136077,0.00023614,0.00155751
184,0.4924,0.1908,0,60,-60,-60,60,0,65672.61,4719.63,4483.65,2529.41,1728.12,1728.12,0.3062,0.2962,0.3464,3.0,0.103641,13.479,2.022,9.435,4.044,0.00103641,0.00079932,0.00014367,0.00085677
185,0.6049,0.2557,45,-45,45,-45,45,-45,81402.01,5227.65,4966.27,2993.43,2162.82,2162.82,0.2774,0.2674,0.3136,3.0,0.414199,60.92,9.138,42.644,18.276,0.00414199,0.00305269,0.00052387,0.00349603
186,0.6093,0.2113,0,0,90,90,0,0,84030.31,5559.82,5281.83,2967.86,2166.16,2166.16,0.3085,0.2985,0.3062,3.0,0.106121,16.263,2.439,11.384,4.879,0.00106121,0.00082194,0.00013547,0.00087751
187,0.603,0.2169,0,30,-30,-30,30,0,80662.92,5328.59,5062.16,2981.09,2165.48,2165.48,0.2843,0.2743,0.3497,3.0,0.13489,20.084,3.013,14.059,6.025,0.0013489,0.00101057,0.00017429,0.00113072
188,0.5721,0.2548,0,0,90,90,0,0,75817.62,5031.96,4780.36,2822.53,1949.38,1949.38,0.2757,0.2657,0.3327,3.0,0.10577,14.881,2.232,10.417,4.464,0.0010577,0.00079084,0.00013739,0.0008872
189,0.4673,0.2067,90,45,0,0,45,90,62549.55,4216.88,4006.04,2258.99,1721.0,1721.0,0.2896,0.2796,0.3742,3.0,0.273471,31.81,4.771,22.267,9.543,0.00273471,0.00211219,0.00035598,0.00226301
190,0.5484,0.2434,0,0,90,90,0,0,75783.77,5056.64,4803.81,2747.54,1797.45,1797.45,0.3137,0.3037,0.3395,3.0,0.30443,42.648,6.397,29.854,12.794,0.0030443,0.00232834,0.00039393,0.00253022
191,0.5437,0.2955,0,60,-60,-60,60,0,74613.27,4644.23,4412.02,2717.85,1916.52,1916.52,0.3015,0.2915,0.3587,3.0,0.254929,33.521,5.028,23.465,10.056,0.00254929,0.00185004,0.00031448,0.00216533
192,0.4564,0.2484,0,45,-45,-45,45,0,60941.86,4041.42,3839.35,2279.77,1619.63,1619.63,0.2913,0.2813,0.333,3.0,0.134419,15.213,2.282,10.649,4.564,0.00134419,0.00100098,0.00017475,0.00112931
193,0.6019,0.2077,45,45,-45,-45,45,45,81307.99,5561.47,5283.39,2892.47,2008.06,2008.06,0.263,0.253,0.32,3.0,0.409801,62.287,9.343,43.601,18.686,0.00409801,0.00323015,0.00053625,0.00335994
194,0.5026,0.2499,0,60,-60,-60,60,0,68966.69,4595.77,4365.98,2497.22,1653.63,1653.63,0.3146,0.3046,0.3163,3.0,0.508122,64.698,9.705,45.288,19.409,0.00508122,0.00388619,0.00065667,0.00422331
195,0.5557,0.2799,45,45,-45,-45,45,45,76891.21,4869.96,4626.46,2764.95,1982.34,1982.34,0.2615,0.2515,0.3257,3.0,0.181826,24.861,3.729,17.402,7.458,0.00181826,0.00134869,0.00022632,0.00153146
196,0.5595,0.2473,0,30,-30,-30,30,0,75790.14,4996.3,4746.49,2885.98,1913.06,1913.06,0.2665,0.2565,0.3102,3.0,0.263148,37.062,5.559,25.943,11.119,0.00263148,0.0019263,0.0003423,0.00222535
197,0.4877,0.2821,0,90,90,90,90,0,65884.46,4221.94,4010.84,2415.64,1740.17,1740.17,0.2542,0.2442,0.3525,3.0,0.273008,32.423,4.863,22.696,9.727,0.00273008,0.00201332,0.00034448,0.0023039
198,0.505,0.1878,0,45,-45,-45,45,0,67345.52,4519.76,4293.77,2587.66,1787.19,1787.19,0.2885,0.2785,0.3356,3.0,0.076624,9.736,1.46,6.815,2.921,0.00076624,0.00056438,0.0001012,0.00064624
199,0.5386,0.1886,0,0,90,90,0,0,72895.67,4815.78,4574.99,2733.56,1866.46,1866.46,0.252,0.242,0.3162,3.0,0.402744,54.413,8.162,38.089,16.324,0.00402744,0.00298581,0.00052251,0.00338965
200,0.582,0.267,45,45,-45,-45,45,45,77292.26,4963.72,4715.53,2953.78,2127.44,2127.44,0.2688,0.2588,0.318,3.0,0.305782,43.14,6.471,30.198,12.942,0.00305782,0.00219073,0.00039069,0.00260729
201,0.4592,0.2223,45,-45,45,-45,45,-45,59581.54,4172.74,3964.11,2232.15,1617.16,1617.16,0.3048,0.2948,0.3569,3.0,0.410625,47.211,7.082,33.048,14.163,0.00410625,0.00317258,0.00055467,0.00339426
202,0.4706,0.237,0,90,90,90,90,0,60938.31,4195.07,3985.32,2317.9,1569.41,1569.41,0.2731,0.2631,0.3141,3.0,0.353242,41.231,6.185,28.862,12.369,0.00353242,0.00266823,0.00047362,0.00294855
203,0.6149,0.2911,0,60,-60,-60,60,0,82853.19,5626.81,5345.47,3004.76,2153.71,2153.71,0.301,0.291,0.3776,3.0,0.124147,19.248,2.887,13.474,5.774,0.00124147,0.00096088,0.00016262,0.00102623
204,0.6312,0.2965,45,45,-45,-45,45,45,85871.59,5243.05,4980.9,3227.32,2056.75,2056.75,0.2734,0.2634,0.3457,3.0,0.272841,41.037,6.155,28.726,12.311,0.00272841,0.00190731,0.00033452,0.00234806
205,0.4807,0.2688,0,0,90,90,0,0,62590.85,4495.79,4271.0,2400.27,1622.89,1622.89,0.3176,0.3076,0.3586,3.0,0.087209,10.792,1.619,7.554,3.237,0.00087209,0.0006744,0.00012069,0.00072011
206,0.5238,0.201,0,0,90,90,0,0,70228.38,4584.7,4355.47,2696.6,1765.79,1765.79,0.3088,0.2988,0.3303,3.0,0.150586,19.558,2.934,13.691,5.867,0.00150586,0.00108792,0.00019494,0.00127977
207,0.6203,0.209,0,30,-30,-30,30,0,83860.29,5398.91,5128.97,2970.9,2152.22,2152.22,0.2471,0.2371,0.3539,3.0,0.299997,45.063,6.759,31.544,13.519,0.00299997,0.00227521,0.00037615,0.002504
208,0.5179,0.1885,45,45,-45,-45,45,45,69990.56,4698.33,4463.41,2483.15,1780.12,1780.12,0.2816,0.2716,0.3674,3.0,0.267967,34.59,5.188,24.213,10.377,0.00267967,0.00208945,0.00034594,0.00220863
209,0.5393,0.2944,0,45,-45,-45,45,0,72999.7,4757.43,4519.56,2680.14,1875.67,1875.67,0.295,0.285,0.3038,3.0,0.340636,45.379,6.807,31.766,13.614,0.00340636,0.00253977,0.00043515,0.0028616
210,0.5073,0.1968,0,90,90,90,90,0,69443.88,4530.49,4303.97,2518.19,1780.85,1780.85,0.2892,0.2792,0.3299,3.0,0.256456,32.412,4.862,22.689,9.724,0.00256456,0.00193068,0.00032672,0.00214627
211,0.5803,0.193,0,30,-30,-30,30,0,78922.45,5248.0,4985.6,2867.71,2032.49,2032.49,0.2824,0.2724,0.3475,3.0,0.052023,7.577,1.136,5.304,2.273,0.00052023,0.00039631,6.72e-05,0.00043312
212,0.4544,0.2418,0,45,-45,-45,45,0,60371.91,3885.26,3691.0,2295.27,1617.55,1617.55,0.2418,0.2318,0.3481,3.0,0.236905,26.111,3.917,18.278,7.833,0.00236905,0.00170639,0.00030275,0.00201615
213,0.6028,0.2142,0,60,-60,-60,60,0,80736.8,5757.04,5469.19,2986.73,2076.4,2076.4,0.2838,0.2738,0.3117,3.0,0.350512,55.066,8.26,38.546,16.52,0.00350512,0.00276551,0.00047743,0.00286947
214,0.5173,0.2985,0,0,90,90,0,0,68496.6,4833.63,4591.95,2623.83,1747.17,1747.17,0.3182,0.3082,0.338,3.0,0.056144,7.509,1.126,5.256,2.253,0.00056144,0.00042927,7.674e-05,0.00046604
215,0.4762,0.1862,45,45,-45,-45,45,45,64251.18,4186.61,3977.28,2415.83,1690.48,1690.48,0.2802,0.2702,0.3777,3.0,0.518,61.127,9.169,42.789,18.338,0.00518,0.00379543,0.00066597,0.00438021
216,0.5018,0.2405,45,-45,45,-45,45,-45,65972.39,4600.68,4370.64,2352.72,1766.46,1766.46,0.2825,0.2725,0.3781,3.0,0.454526,56.829,8.524,39.78,17.049,0.00454526,0.00362318,0.00060298,0.00370568
217,0.4873,0.2162,0,30,-30,-30,30,0,66669.25,4316.29,4100.47,2496.28,1655.85,1655.85,0.2611,0.2511,0.3284,3.0,0.067917,8.269,1.24,5.788,2.481,0.00067917,0.00049687,8.682e-05,0.00057472
218,0.5198,0.266,0,30,-30,-30,30,0,68514.26,4528.8,4302.36,2638.49,1844.1,1844.1,0.312,0.302,0.3274,3.0,0.266508,34.099,5.115,23.869,10.23,0.00266508,0.00193856,0.00034839,0.00225882
219,0.4578,0.2394,45,45,-45,-45,45,45,62242.18,4207.63,3997.25,2259.41,1511.77,1511.77,0.2968,0.2868,0.3571,3.0,0.116089,13.483,2.022,9.438,4.045,0.00116089,0.00089509,0.00015163,0.00096129
220,0.6486,0.221,0,45,-45,-45,45,0,88011.44,5790.7,5501.17,3232.44,2318.19,2318.19,0.2411,0.2311,0.3742,3.0,0.105904,17.126,2.569,11.988,5.138,0.00105904,0.00079473,0.00013621,0.00088725
221,0.5029,0.1847,90,45,0,0,45,90,67579.63,4534.71,4307.97,2437.41,1758.48,1758.48,0.2708,0.2608,0.3271,3.0,0.102619,12.85,1.927,8.995,3.855,0.00102619,0.00079079,0.0001331,0.0008501
222,0.5156,0.1908,0,45,-45,-45,45,0,68219.53,4664.03,4430.83,2639.27,1843.4,1843.4,0.2803,0.2703,0.3425,3.0,0.061472,8.032,1.205,5.622,2.41,0.00061472,0.00045648,8.241e-05,0.00051663
223,0.5129,0.2729,0,0,90,90,0,0,69401.95,4739.06,4502.11,2570.26,1834.44,1834.44,0.2647,0.2547,0.3743,3.0,0.392952,51.544,7.732,36.081,15.463,0.00392952,0.00300809,0.00051988,0.00326291
224,0.4689,0.2993,90,45,0,0,45,90,61239.84,4112.74,3907.1,2390.65,1627.06,1627.06,0.3039,0.2939,0.3482,3.0,0.437669,50.81,7.621,35.567,15.243,0.00437669,0.00318802,0.00058078,0.00370626
225,0.6214,0.1917,45,45,-45,-45,45,45,84480.84,5729.03,5442.58,3118.78,2199.27,2199.27,0.274,0.264,0.3704,3.0,0.150601,23.91,3.586,16.737,7.173,0.00150601,0.00114996,0.00019811,0.00125204
